,State,University
229,NE,university of nebraska lincoln
230,,research triangle institute
231,,long island university brooklyn campus
232,,hospital for sick chldrn (toronto)
233,MT,montana state university - bozeman
234,,anton de kom university of suriname
235,AR,university of arkansas med scis ltl rock
236,,fred hutchinson cancer res ctr
237,,wested
238,IA,iowa state university
239,MA,univ of massachusetts med sch worcester
240,SC,university of south carolina at columbia
241,,kaiser foundation research institute
242,,catholic diocese of brownsville
243,OR,oregon regional primate research center
244,VA,virginia polytechnic inst and st univ
245,MN,university of minnesota twin cities
246,DC,howard university
247,MA,brigham and women's hospital
248,TX,university of texas medical br galveston
249,PA,thomas jefferson university
250,CA,university of california
251,NY,state university new york stony brook
252,MA,massachusetts general hospital
253,,ut southwestern medical center
254,NA,national institute of arthritis and musculoskeletal and skin diseases
255,MD,"univ of maryland, college park"
256,NA,national institute on drug abuse
257,IL,university of illinois
258,,"la plaza telecommunity foundation, inc."
259,GA,emory university
260,,university of pittsburgh at pittsburgh
261,,loyola university chicago
262,MO,university of missouri-columbia
263,TX,university of texas el paso
264,MD,university of maryland baltimore
265,OR,oregon health and science university
266,,university of oxford
267,,tufts medical center
268,DC,george washington university
269,,"west side community health services, inc"
270,MD,university of maryland college pk campus
271,,university of miami coral gables
272,,"environment and health group, inc."
273,,boston university (charles river campus)
274,,albert einstein col of med yeshiva univ
275,NA,national center/aids/std control/prevent
276,MA,baystate medical center
277,,clinical center
278,,american institutes for research
279,OK,oklahoma medical research foundation
280,MA,massachusetts general hosp
281,VA,hampton university
282,NY,state university of new york at albany
283,WI,university of wisconsin-madison
284,FL,florida atlantic university
285,NC,north carolina central university
286,CA,university of california irvine
287,NY,icahn school of medicine at mount sinai
288,WI,university of wisconsin madison
289,,medstar health research institute
290,VI,university of the virgin islands
291,OR,university of oregon
292,LA,tulane university of louisiana
293,PA,temple university
294,,"mariposa community health center, inc."
295,,seattle-king county public health dept
296,,children's research institute
297,KS,university of kansas medical center
298,CA,california rural indian health board
299,,children's hospital boston
300,KS,university of kansas
301,NY,beth israel medical ctr (new york)
302,TX,university of houston
303,NA,international agency for res on cancer
304,CA,california state poly u pomona
305,AZ,arizona state university-tempe campus
306,NJ,montclair state university
307,NY,niagara university
308,OR,oregon health and sci university
309,,center for psychological consultation
310,,"american cancer society, inc."
311,SC,medical university of south carolina
312,,"pro-change behavior systems, inc."
313,CT,hartford hospital
314,,j. david gladstone institutes
315,IL,university of chicago
316,MA,beth israel deaconess medical center
317,,temple univ of the commonwealth
318,NA,"macro international, inc."
319,FL,scripps florida
320,,boston university medical campus
321,CA,california state university los angeles
322,CA,"university of california, san francisco"
323,,children's hospital corporation
324,,palo alto medical foundation res inst
325,,st. luke's-roosevelt inst for hlth scis
326,,pacific institute for res and evaluation
327,,ut md anderson cancer ctr
328,,institute for community research
329,VA,university of virginia
330,TX,baylor college of medicine
331,,juneteenth productions
332,NY,new york botanical garden
333,MN,university of minnesota
334,NA,national association of hispanic nurses
335,,institute for family health
336,,"univ of tx hsc, sa"
337,,"butler hospital (providence, ri)"
338,,college of st scholastica
339,,columbia university health sciences
340,,dana-farber cancer institute
341,,ny society/prevention/cruelty/children
342,,tufts university medford
343,OR,oregon research institute
344,,harvard school of public health
345,PR,university of puerto rico med sciences
346,NC,univ of north carolina chapel hill
347,CA,university of california san francisco
348,OH,ohio state university
349,,wits health consortium (pty) ltd
350,AR,univ of arkansas for med scis
351,AL,university of alabama at birmingham
352,,amc cancer research center
353,CT,wesleyan university
354,,"senecio software, inc."
355,CA,california state university fullerton
356,MA,boston university
