,State,University
217,US Territories,university of puerto rico med sciences
218,MA,tufts medical center
219,MA,judge baker children's center
220,TX,university of houston
221,TN,university of tennessee health sci ctr
222,CA,palo alto medical foundation res inst
223,NY,st. jude children's research hospital
224,MA,dana-farber cancer inst
225,OK,university of oklahoma norman
226,FL,florida atlantic university
227,CT,yale university
228,WA,"talaria, inc."
229,ND,north dakota state university
230,NJ,"prevention first, inc."
231,MA,baystate medical center
232,GA,morehouse school of medicine
233,CA,university of california at davis
234,NY,research triangle institute
235,CT,hartford hospital
236,RI,"pro-change behavior systems, inc."
237,MA,massachusetts general hosp
238,NA,national center/aids/std control/prevent
239,FL,scripps florida
240,CA,salk institute for biological studies
241,KY,university of kentucky
242,NY,icahn school of medicine at mount sinai
243,IL,loyola university chicago
244,DC,george washington university
245,OH,ohio state university
246,MA,univ of massachusetts med sch worcester
247,NY,mayo clinic rochester
248,MD,johns hopkins university
249,MN,university of minnesota twin cities
250,OR,oregon regional primate research center
251,CO,university of colorado at boulder
252,NY,columbia univ new york morningside
253,MA,mclean hospital
254,MA,children's hospital corporation
255,PA,center for psychological consultation
256,CA,rand corporation
257,MD,clinical center
258,MO,university of missouri-columbia
259,LA,lsu pennington biomedical research ctr
260,MA,"new england research institutes, inc."
261,OR,"oregon center for applied science, inc."
262,MS,alcorn state university
263,WA,fred hutchinson cancer res ctr
264,WA,heritage university
265,NY,family health care center
266,FL,florida state university
267,NJ,rutgers the st univ of nj new brunswick
268,CA,university of california davis
269,CA,san francisco state university
270,CT,university of connecticut storrs
271,MA,tufts university medford
272,MN,college of st scholastica
273,WA,fred hutchinson cancer research center
274,CA,county of san joaquin
275,PA,pennsylvania state university-univ park
276,NJ,univ of med/dent of nj-nj medical school
277,OH,university of cincinnati
278,MA,cambridge health alliance
279,TX,university of texas hlth sci ctr houston
280,AL,university of alabama at birmingham
281,CA,university of california irvine
282,NY,new york state psychiatric institute
283,MO,saint louis university
284,FL,university of florida
285,CA,northern california cancer center
286,MD,medstar research institute
287,MA,boston college
288,RI,gordon research conferences
289,IN,purdue university west lafayette
290,MA,wellesley college
291,NY,university of rochester
292,AL,alabama state university
293,MD,university of maryland baltimore
294,MD,"interactive drama, inc."
295,GA,emory university
296,CA,cedars-sinai medical center
297,NY,"american cancer society, inc."
298,MA,dana-farber cancer institute
299,CA,western consortium for public health
300,Outside the US,hospital for sick chldrn (toronto)
301,OR,"oregon social learning center, inc."
302,CA,california poly state u san luis obispo
303,OH,wright state university
304,UT,utah state university
305,OK,intergenetics incorporated
306,CA,california pacific med ctr res institute
307,NY,roswell park cancer institute corp
308,AR,university of arkansas med scis ltl rock
309,US Territories,university of guam
310,OR,oregon research institute
311,NY,new york university
312,MA,beth israel deaconess medical center
313,MA,harvard university (medical school)
314,IL,lurie children's hospital of chicago
315,Outside the US,u of l imperial col of sci/technlgy/med
316,NM,behavioral health research ctr-southwest
317,MD,division of basic sciences - nci
318,VA,children's national medical center
319,MA,harvard university (sch of public hlth)
320,Outside the US,university of quebec at montreal
321,HI,hawaii state department of health
322,TX,university of texas sw med ctr/dallas
323,TX,university of texas md anderson can ctr
324,NY,college at old westbury
325,TX,university of texas sw med ctr
326,NM,new mexico highlands university
327,HI,university of hawaii at hilo
328,AR,univ of arkansas for med scis
329,MD,pacific institute for res and evaluation
330,CA,parkinson's institute
331,NY,"montefiore medical center (bronx, ny)"
332,TX,ut md anderson cancer ctr
333,MD,national institute of diabetes and digestive and kidney diseases
334,NY,albert einstein col of med yeshiva univ
335,RI,memorial hospital of rhode island
336,CT,institute for community research
337,VA,university of virginia
338,TX,ut southwestern medical center
339,KS,university of kansas medical center
340,CO,"klein buendel, inc."
341,WV,west virginia university
342,MD,"national heart, lung, and blood institute"
343,Outside the US,international agency for res on cancer
344,KS,university of kansas
345,CA,la biomed res inst/ harbor ucla med ctr
346,CA,institute for research on social problem
347,TX,university of tx md anderson can ctr
348,TX,"univ of tx hsc, sa"
349,MA,"broad institute, inc."
350,IL,university of illinois
351,NY,weill medical college of cornell univ
352,CA,loma linda university
353,Outside the US,"decode genetics, ehf"
354,NJ,montclair state university
355,CA,california state university fullerton
356,MA,hebrew rehabilitation center for aged
