Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,NICHD,6521173,5R01HD037515-03,5,R01,HD,37515,3,,,1896188,"ALTMAN, JACKI ",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,2002,335137,
CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,NICHD,6388079,5R01HD037515-02,5,R01,HD,37515,2,,,1896188,"ALTMAN, JACKI ",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,2001,355033,
CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,NICHD,6138870,1R01HD037515-01A1,1,R01,HD,37515,1,A1,,1896188,"ALTMAN, JACKI ",Not Applicable,UNIVERSITY OF CONNECTICUT STORRS, ,2000,415255,
MONOCULTURAL VS MULTICULTURAL ACADEMIC ACCULTURATION,NIMH,6929734,5R25MH065807-05,5,R25,MH,65807,5,,,1960127,"HALL, GORDON C",Not Applicable,UNIVERSITY OF OREGON, ,2005,81710,
MONOCULTURAL VS MULTICULTURAL ACADEMIC ACCULTURATION,NIMH,6781084,5R25MH065807-04,5,R25,MH,65807,4,,,1960127,"HALL, GORDON C",Not Applicable,UNIVERSITY OF OREGON, ,2004,160309,
MONOCULTURAL VS MULTICULTURAL ACADEMIC ACCULTURATION,NIMH,6655081,5R25MH065807-03,5,R25,MH,65807,3,,,1960127,"HALL, GORDON C",Not Applicable,UNIVERSITY OF OREGON, ,2003,160412,
MONOCULTURAL VS MULTICULTURAL ACADEMIC ACCULTURATION,NIMH,6529049,5R25MH065807-02,5,R25,MH,65807,2,,,1960127,"HALL, GORDON C",Not Applicable,UNIVERSITY OF OREGON, ,2002,160318,
MONOCULTURAL VS MULTICULTURAL ACADEMIC ACCULTURATION,NIMH,6492184,1R25MH065807-01,1,R25,MH,65807,1,,,1960127,"HALL, GORDON C",Not Applicable,UNIVERSITY OF OREGON, ,2001,156250,
